month_start,year,month,borough,sales_count,median_sale_price
2020-08-01,2020,8,1,543,1080000.0
2020-08-01,2020,8,2,265,530000.0
2020-08-01,2020,8,3,757,765000.0
2020-08-01,2020,8,4,970,615000.0
2020-08-01,2020,8,5,390,530000.0
2020-09-01,2020,9,1,571,1110000.0
2020-09-01,2020,9,2,345,549000.0
2020-09-01,2020,9,3,880,810000.0
2020-09-01,2020,9,4,1177,650000.0
2020-09-01,2020,9,5,459,535000.0
2020-10-01,2020,10,1,786,1137500.0
2020-10-01,2020,10,2,355,536000.0
2020-10-01,2020,10,3,1200,850000.0
2020-10-01,2020,10,4,1292,625000.0
2020-10-01,2020,10,5,639,560000.0
2020-11-01,2020,11,1,826,1250000.0
2020-11-01,2020,11,2,684,3000468.0
2020-11-01,2020,11,3,1084,880000.0
2020-11-01,2020,11,4,1229,640000.0
2020-11-01,2020,11,5,588,564000.0
2020-12-01,2020,12,1,1088,1157500.0
2020-12-01,2020,12,2,433,535000.0
2020-12-01,2020,12,3,1491,845000.0
2020-12-01,2020,12,4,1706,650000.0
2020-12-01,2020,12,5,660,570000.0
2021-01-01,2021,1,1,910,1100000.0
2021-01-01,2021,1,2,348,525000.0
2021-01-01,2021,1,3,1227,900000.0
2021-01-01,2021,1,4,1326,630000.0
2021-01-01,2021,1,5,581,568888.0
2021-02-01,2021,2,1,985,1025000.0
2021-02-01,2021,2,2,379,500000.0
2021-02-01,2021,2,3,1258,880000.0
2021-02-01,2021,2,4,1353,650000.0
2021-02-01,2021,2,5,468,550000.0
2021-03-01,2021,3,1,1437,1150000.0
2021-03-01,2021,3,2,450,565000.0
2021-03-01,2021,3,3,1547,885000.0
2021-03-01,2021,3,4,1751,630405.0
2021-03-01,2021,3,5,598,555000.0
2021-04-01,2021,4,1,1633,1260000.0
2021-04-01,2021,4,2,413,510000.0
2021-04-01,2021,4,3,1606,885000.0
2021-04-01,2021,4,4,1513,650000.0
2021-04-01,2021,4,5,535,580000.0
2021-05-01,2021,5,1,1482,1157500.0
2021-05-01,2021,5,2,423,562500.0
2021-05-01,2021,5,3,1580,907045.0
2021-05-01,2021,5,4,1617,706000.0
2021-05-01,2021,5,5,538,590000.0
2021-06-01,2021,6,1,1989,1285000.0
2021-06-01,2021,6,2,475,598000.0
2021-06-01,2021,6,3,2011,925000.0
2021-06-01,2021,6,4,1903,672000.0
2021-06-01,2021,6,5,627,599000.0
2021-07-01,2021,7,1,1855,1295000.0
2021-07-01,2021,7,2,470,569750.0
2021-07-01,2021,7,3,1775,900000.0
2021-07-01,2021,7,4,1796,675000.0
2021-07-01,2021,7,5,638,620000.0
2021-08-01,2021,8,1,2126,1100000.0
2021-08-01,2021,8,2,479,570000.0
2021-08-01,2021,8,3,1973,945000.0
2021-08-01,2021,8,4,2020,670000.0
2021-08-01,2021,8,5,741,649900.0
2021-09-01,2021,9,1,1808,1121537.5
2021-09-01,2021,9,2,403,555000.0
2021-09-01,2021,9,3,1587,950000.0
2021-09-01,2021,9,4,1738,693839.0
2021-09-01,2021,9,5,644,609750.0
2021-10-01,2021,10,1,1888,1250000.0
2021-10-01,2021,10,2,557,689000.0
2021-10-01,2021,10,3,1638,890000.0
2021-10-01,2021,10,4,1778,693321.0
2021-10-01,2021,10,5,623,630000.0
2021-11-01,2021,11,1,1536,1265565.0
2021-11-01,2021,11,2,429,639000.0
2021-11-01,2021,11,3,1555,950000.0
2021-11-01,2021,11,4,1649,687000.0
2021-11-01,2021,11,5,590,625000.0
2021-12-01,2021,12,1,1787,1500000.0
2021-12-01,2021,12,2,574,645000.0
2021-12-01,2021,12,3,2231,1200000.0
2021-12-01,2021,12,4,1939,685000.0
2021-12-01,2021,12,5,636,606000.0
2022-01-01,2022,1,1,1458,1300000.0
2022-01-01,2022,1,2,400,645000.0
2022-01-01,2022,1,3,1561,935000.0
2022-01-01,2022,1,4,1671,685000.0
2022-01-01,2022,1,5,568,630000.0
2022-02-01,2022,2,1,1467,1274000.0
2022-02-01,2022,2,2,438,600000.0
2022-02-01,2022,2,3,1478,940000.0
2022-02-01,2022,2,4,1573,685000.0
2022-02-01,2022,2,5,470,630000.0
2022-03-01,2022,3,1,1802,1247500.0
2022-03-01,2022,3,2,460,623750.0
2022-03-01,2022,3,3,1829,955000.0
2022-03-01,2022,3,4,1873,725000.0
2022-03-01,2022,3,5,581,629865.0
2022-04-01,2022,4,1,1529,1392500.0
2022-04-01,2022,4,2,428,573000.0
2022-04-01,2022,4,3,1596,992500.0
2022-04-01,2022,4,4,1607,655000.0
2022-04-01,2022,4,5,511,650000.0
2022-05-01,2022,5,1,1739,1250000.0
2022-05-01,2022,5,2,497,610000.0
2022-05-01,2022,5,3,1699,989000.0
2022-05-01,2022,5,4,1806,685000.0
2022-05-01,2022,5,5,490,625000.0
2022-06-01,2022,6,1,1917,1300000.0
2022-06-01,2022,6,2,566,678500.0
2022-06-01,2022,6,3,1971,1050000.0
2022-06-01,2022,6,4,2002,705000.0
2022-06-01,2022,6,5,642,656500.0
2022-07-01,2022,7,1,1575,1195000.0
2022-07-01,2022,7,2,412,600000.0
2022-07-01,2022,7,3,1596,999000.0
2022-07-01,2022,7,4,1856,730000.0
2022-07-01,2022,7,5,592,672500.0
2022-08-01,2022,8,1,1791,1250000.0
2022-08-01,2022,8,2,483,670000.0
2022-08-01,2022,8,3,1648,965000.0
2022-08-01,2022,8,4,1739,670000.0
2022-08-01,2022,8,5,538,650000.0
2022-09-01,2022,9,1,1368,1269375.0
2022-09-01,2022,9,2,403,570000.0
2022-09-01,2022,9,3,1462,931000.0
2022-09-01,2022,9,4,1617,699000.0
2022-09-01,2022,9,5,444,650000.0
2022-10-01,2022,10,1,1168,1195000.0
2022-10-01,2022,10,2,378,587500.0
2022-10-01,2022,10,3,1121,938000.0
2022-10-01,2022,10,4,1372,695000.0
2022-10-01,2022,10,5,438,650000.0
2022-11-01,2022,11,1,1105,1149000.0
2022-11-01,2022,11,2,330,550000.0
2022-11-01,2022,11,3,1271,950000.0
2022-11-01,2022,11,4,1298,676000.0
2022-11-01,2022,11,5,378,632500.0
2022-12-01,2022,12,1,1083,1175000.0
2022-12-01,2022,12,2,358,600000.0
2022-12-01,2022,12,3,1243,895000.0
2022-12-01,2022,12,4,1255,710000.0
2022-12-01,2022,12,5,465,610000.0
2023-01-01,2023,1,1,910,1096846.0
2023-01-01,2023,1,2,290,562500.0
2023-01-01,2023,1,3,978,940000.0
2023-01-01,2023,1,4,1218,700000.0
2023-01-01,2023,1,5,330,602500.0
2023-02-01,2023,2,1,823,1100000.0
2023-02-01,2023,2,2,288,552500.0
2023-02-01,2023,2,3,858,881000.0
2023-02-01,2023,2,4,1136,635000.0
2023-02-01,2023,2,5,294,643500.0
2023-03-01,2023,3,1,1495,2050000.0
2023-03-01,2023,3,2,357,570000.0
2023-03-01,2023,3,3,1152,930000.0
2023-03-01,2023,3,4,1318,645000.0
2023-03-01,2023,3,5,360,600000.0
2023-04-01,2023,4,1,1013,1215000.0
2023-04-01,2023,4,2,312,642500.0
2023-04-01,2023,4,3,1001,950000.0
2023-04-01,2023,4,4,1058,650000.0
2023-04-01,2023,4,5,342,581201.5
2023-05-01,2023,5,1,1270,1275000.0
2023-05-01,2023,5,2,364,580000.0
2023-05-01,2023,5,3,1171,940000.0
2023-05-01,2023,5,4,1424,700000.0
2023-05-01,2023,5,5,435,600000.0
2023-06-01,2023,6,1,1332,1285000.0
2023-06-01,2023,6,2,398,599500.0
2023-06-01,2023,6,3,1263,976000.0
2023-06-01,2023,6,4,1453,670840.0
2023-06-01,2023,6,5,469,649900.0
2023-07-01,2023,7,1,1215,1235000.0
2023-07-01,2023,7,2,306,600424.0
2023-07-01,2023,7,3,1123,950000.0
2023-07-01,2023,7,4,1255,680000.0
2023-07-01,2023,7,5,376,639500.0
2023-08-01,2023,8,1,1386,1193176.5
2023-08-01,2023,8,2,374,605000.0
2023-08-01,2023,8,3,1443,910000.0
2023-08-01,2023,8,4,1470,660000.0
2023-08-01,2023,8,5,500,654000.0
2023-09-01,2023,9,1,1127,1145000.0
2023-09-01,2023,9,2,289,565000.0
2023-09-01,2023,9,3,1129,950000.0
2023-09-01,2023,9,4,1298,672225.0
2023-09-01,2023,9,5,390,648000.0
2023-10-01,2023,10,1,1107,1125000.0
2023-10-01,2023,10,2,350,550000.0
2023-10-01,2023,10,3,1138,942500.0
2023-10-01,2023,10,4,1426,675000.0
2023-10-01,2023,10,5,425,613000.0
2023-11-01,2023,11,1,917,1225018.0
2023-11-01,2023,11,2,317,620000.0
2023-11-01,2023,11,3,1022,895000.0
2023-11-01,2023,11,4,1231,675000.0
2023-11-01,2023,11,5,360,677000.0
2023-12-01,2023,12,1,1015,1213039.0
2023-12-01,2023,12,2,301,600000.0
2023-12-01,2023,12,3,1070,950000.0
2023-12-01,2023,12,4,1185,685000.0
2023-12-01,2023,12,5,402,650000.0
2024-01-01,2024,1,1,927,1150000.0
2024-01-01,2024,1,2,297,610000.0
2024-01-01,2024,1,3,1076,931500.0
2024-01-01,2024,1,4,1180,660000.0
2024-01-01,2024,1,5,380,650890.5
2024-02-01,2024,2,1,861,1050000.0
2024-02-01,2024,2,2,309,555000.0
2024-02-01,2024,2,3,1003,875000.0
2024-02-01,2024,2,4,1129,650000.0
2024-02-01,2024,2,5,316,587000.0
2024-03-01,2024,3,1,1032,1125000.0
2024-03-01,2024,3,2,294,499999.0
2024-03-01,2024,3,3,1052,925000.0
2024-03-01,2024,3,4,1216,650000.0
2024-03-01,2024,3,5,374,647750.0
2024-04-01,2024,4,1,1057,1200000.0
2024-04-01,2024,4,2,319,615000.0
2024-04-01,2024,4,3,1122,997442.5
2024-04-01,2024,4,4,1282,680000.0
